,AAPL US Equity,MSFT US Equity,NVDA US Equity,AVGO US Equity,AMZN US Equity,META US Equity,TSLA US Equity,GOOGL US Equity,GOOG US Equity,COST US Equity,NFLX US Equity,AMD US Equity,ADBE US Equity,PEP US Equity,LIN US Equity,QCOM US Equity,TMUS US Equity,CSCO US Equity,TXN US Equity,AMAT US Equity,INTU US Equity,AMGN US Equity,CMCSA US Equity,INTC US Equity,ISRG US Equity,HON US Equity,BKNG US Equity,MU US Equity,VRTX US Equity,LRCX US Equity,ADI US Equity,REGN US Equity,KLAC US Equity,PANW US Equity,ADP US Equity,GILD US Equity,MDLZ US Equity,PDD US Equity,SNPS US Equity,ASML US Equity,SBUX US Equity,MELI US Equity,CRWD US Equity,CTAS US Equity,CDNS US Equity,NXPI US Equity,MAR US Equity,CSX US Equity,ABNB US Equity,PYPL US Equity,ROP US Equity,ORLY US Equity,MRVL US Equity,CEG US Equity,PCAR US Equity,MNST US Equity,ADSK US Equity,CPRT US Equity,AEP US Equity,MCHP US Equity,WDAY US Equity,ROST US Equity,MRNA US Equity,CHTR US Equity,AZN US Equity,KDP US Equity,PAYX US Equity,FTNT US Equity,DXCM US Equity,TTD US Equity,ODFL US Equity,KHC US Equity,VRSK US Equity,FAST US Equity,EA US Equity,IDXX US Equity,DASH US Equity,CTSH US Equity,FANG US Equity,GEHC US Equity,DDOG US Equity,EXC US Equity,BKR US Equity,LULU US Equity,CCEP US Equity,BIIB US Equity,ON US Equity,GFS US Equity,CDW US Equity,XEL US Equity,CSGP US Equity,ZS US Equity,TEAM US Equity,ANSS US Equity,TTWO US Equity,DLTR US Equity,WBD US Equity,ARM US Equity,ILMN US Equity,MDB US Equity,WBA US Equity,IXIC Index
2023-02-13,154.555,272.6623,21.7995,61.131,99.54,179.43,194.64,94.61,95,509.093,358.57,83.13,375,180.06,336.624,132.3621,146.58,49.1217,180.4962,117.1107,420.411,247.225,39.9992,29.5872,245.13,205.383,2423.03,60.5067,299.18,514.2405,182.151,763.97,406.7955,166.31,229.4349,89.2004,67.1038,96.1,361.76,673.0932,110.3091,1112.32,112.17,450.34,185.7,190.311,175.1187,31.8285,116.42,79.45,431.706,849.49,45.7949,86.6694,75.888,52.11,224,34.415,93.5333,85.0636,188.25,117.5038,171.48,400.13,70.2006,36.2517,117.7853,60.15,118.28,48.63,178.3625,41.1668,179.6725,54.0914,113.5389,496.68,59.29,68.4041,153.9214,69.43,82.24,41.859,33.44,317.08,57.1275,290.46,84.38,66.15,212.4329,69.6325,77.08,133.87,175.56,272.76,111.38,148.45,14.92,,209.858,217.3,38.0207,14864.23
2023-02-14,153.902,273.5165,22.9831,61.252,99.7,179.48,209.25,94.68,94.95,505.847,359.96,85.95,377.9,178.034,336.5635,133.8795,147.49,48.9575,180.1183,119.0302,424.312,246.718,39.9685,29.6805,241.09,202.9895,2471.05,62.4693,300.25,520.2064,184.2607,754.21,406.4217,170.14,226.6396,87.3551,66.4861,95.89,375.94,681.8901,109.7602,1132.31,116.31,446.55,199.09,191.7355,182.0483,31.6373,120.87,77.26,428.773,861,47.4118,86.3383,76.0959,52.125,228.04,34.64,92.9069,85.6184,189.54,117.5239,175.62,400.13,70.835,35.9772,116.1844,61.19,118.55,49.92,179.7304,40.7075,177.4149,53.7956,112.586,503.65,61.61,67.9805,155.6244,72.61,85.48,42.7127,33.1135,319.88,57.2297,289.08,86.88,71.73,209.3048,68.8927,76.78,136.19,181.87,274.28,112.09,146.94,14.73,,206.835,228.81,37.6519,14971.04
2023-02-15,156.042,271.3358,22.776,61.799,101.16,177.16,214.24,96.94,97.1,513.949,361.42,85.18,375.94,178.277,335.0822,134.618,147.55,49.7273,182.3246,120.0553,423.578,245.73,40.3369,29.8981,244.77,203.7066,2516.58,62.2378,298.75,524.3179,198.0292,752.4,408.5734,177.26,229.9294,86.7127,66.5165,94.46,379.48,681.2157,110.797,1159.6,120.52,448.123,202.26,195.2714,181.3654,31.8688,137.01,77.91,423.578,861.23,46.9398,86.2882,77.8736,52.548,229.28,34.855,93.3587,86.6574,190.93,117.363,177.28,403.61,70.1805,36.2924,117.4998,62.81,120.17,66.3,178.9888,40.9627,178.0169,54.1424,113.6793,514.59,68.18,67.6982,151.232,72.32,88.72,43.3631,32.7973,325.23,57.4548,278.98,86.71,69.92,213.8612,68.8116,78.9,142.77,187.36,277.9,115.95,149.14,15.35,,208.021,233.53,37.908,15091.52
2023-02-16,154.414,264.1121,22.0136,61.072,98.15,172.44,202.04,95.51,95.78,506.731,350.71,80.08,365.16,177.771,325.9829,131.6742,146.73,52.3342,179.8527,115.965,410.627,239.747,40.6438,29.2245,240.16,201.3333,2493.18,60.4363,292.04,505.2112,195.6571,736.33,396.8251,172.02,229.556,85.0203,66.5064,96.79,359.71,660.5521,109.3129,1119.64,115.12,444.827,194.62,193.1902,176.5447,31.3052,139.42,76.73,424.965,862,45.8853,85.9069,77.832,52.02,222.13,34.465,93.1328,85.3763,187.75,116.0348,172.31,400.37,68.4282,36.4957,116.9185,61.39,117.26,63.07,176.3431,40.6054,176.8129,54.0812,112.0545,506.4,66.89,67.2141,147.203,70.91,82.47,43.1801,32.9095,321.83,58.0276,271.53,84.13,69.53,215.5007,68.163,78.18,132.93,174.66,273.24,112.52,146.85,15.31,,205.854,217.33,37.7004,14799.79
2023-02-17,153.249,259.9915,21.3993,60.568,97.2,172.88,208.31,94.35,94.59,510.129,347.96,78.5,356.85,178.551,323.9877,129.2058,149.35,52.1084,179.0765,116.0153,406.625,246.206,40.0299,28.6131,238.91,203.4137,2462.01,59.3896,293.66,499.4973,194.5265,748.74,391.8652,169.28,230.7821,86.4171,67.6911,93.42,354.45,656.1738,108.8657,1100.87,114.25,447.588,194.44,190.3918,173.2607,31.4059,131.6,74.66,429.697,873.01,44.3287,84.8234,78.6844,52.09,219.98,34.2,94.8887,84.3555,185.8,116.4071,166.6,395.62,69.4554,36.2619,117.0103,60.64,114.76,60.3,177.8013,40.83,177.726,54.5096,112.3353,496.46,61.81,66.3228,139.8511,73.17,79.99,43.7492,31.2059,320.36,57.5161,278.38,81.86,67.16,215.1789,68.9231,77.56,132.35,168.56,270.76,112.51,148.04,15.43,,205.864,213.13,38.1571,14699.76
2023-02-20,153.249,259.9915,21.3993,60.568,97.2,172.88,208.31,94.35,94.59,510.129,347.96,78.5,356.85,178.551,323.9877,129.2058,149.35,52.1084,179.0765,116.0153,406.625,246.206,40.0299,28.6131,238.91,203.4137,2462.01,59.3896,293.66,499.4973,194.5265,748.74,391.8652,169.28,230.7821,86.4171,67.6911,93.42,354.45,656.1738,108.8657,1100.87,114.25,447.588,194.44,190.3918,173.2607,31.4059,131.6,74.66,429.697,873.01,44.3287,84.8234,78.6844,52.09,219.98,34.2,94.8887,84.3555,185.8,116.4071,166.6,395.62,69.4554,36.2619,117.0103,60.64,114.76,60.3,177.8013,40.83,177.726,54.5096,112.3353,496.46,61.81,66.3228,139.8511,73.17,79.99,43.7492,31.2059,320.36,57.5161,278.38,81.86,67.16,215.1789,68.9231,77.56,132.35,168.56,270.76,112.51,148.04,15.43,,205.864,213.13,38.1571,14699.76
2023-02-21,149.161,254.5611,20.6659,59.139,94.58,172.08,197.37,91.79,92.05,504.359,337.5,76.77,346.7,178.449,327.051,125.139,147.09,50.9999,174.4188,111.8345,398.46,243.862,38.7201,27.0068,233.58,198.7076,2425.49,57.9705,292.48,481.9928,187.723,746.52,382.1877,166.89,226.7304,86.2947,67.4379,84.51,352.35,633.8796,106.5074,1099.33,112.43,439.133,192.65,183.2696,171.4128,30.782,128.78,75.24,425.206,860.13,42.7821,80.6299,76.782,51.19,215.55,34.52,93.2869,81.7318,181.92,113.6098,160.09,377.91,70.0798,36.1399,113.7167,59.71,114.01,56.75,171.7182,40.6973,175.2778,52.49,112.3554,478.17,58.06,65.4922,139.3631,72.47,78.52,42.9159,30.7366,314.11,56.1762,271.93,79.28,63.11,206.6996,68.1022,76.02,127.84,165.15,265.81,112.02,146.42,14.75,,197.127,210.61,37.5343,14345.43
2023-02-22,149.592,253.3925,20.765,58.593,95.79,171.12,200.86,91.65,91.8,499.986,334.88,76.61,348.72,178.389,332.563,125.3919,147.33,50.6099,173.4382,111.2215,408.636,241.733,38.8941,26.3953,233.55,197.425,2426.71,57.3465,294.36,480.9347,185.4922,748.08,381.5917,187.75,224.9645,85.1324,67.0633,83.42,355.06,628.2733,106.4973,1118.26,117.63,441.007,193.99,179.5114,171.3224,30.1782,127.21,75.48,423.588,842.51,43.1537,78.0516,75.992,51.165,216.7,34.675,93.2561,80.82,184.37,113.3583,158.17,382.65,69.3346,36.3737,112.8601,60.21,111.65,56.41,171.3725,40.4013,175.0871,52.6328,112.0745,476.29,57.89,65.2694,142.5613,71.94,79.96,42.5196,30.655,316.52,56.1557,272.55,78.56,63.22,205.1808,67.5854,72.13,132.16,169.49,266.78,111.24,144.19,15.42,,196.029,213.59,37.4513,14352.81
2023-02-23,150.085,256.6769,23.6765,59.369,95.82,172.04,202.07,90.89,91.07,495.714,323.65,79.75,347.02,178.581,334.4373,127.6681,144.73,50.5073,175.5015,113.7399,414.166,243.227,38.5666,26.5404,234.9,197.9905,2426.49,59.1279,292.57,489.1377,187.4,759.66,392.3197,188.74,224.8131,84.1537,66.9013,86.11,365.48,642.2437,105.2165,1136.26,117.44,440.594,196.62,182.8453,173.0799,30.8424,125.52,75.19,433.073,841.16,45.4434,79.4762,76.3454,51.345,221.16,34.8,93.1431,82.2585,187.21,112.181,147.57,383.23,68.8461,36.7092,113.5127,60.58,111.87,56.25,173.011,40.5748,174.4851,52.4288,111.0515,478.35,56.57,65.1175,147.0368,75.9,78.7,42.5196,31.0835,317.8,57.2297,271.95,78.39,64.43,206.408,67.2205,70.74,133.5,170.63,294.75,110.37,141.36,15.73,,196.505,213.46,37.5862,14489.95
2023-02-24,147.382,251.0853,23.2983,58.754,93.5,170.39,196.88,89.13,89.35,491.16,317.15,78.09,320.54,178.226,350.3283,125.7865,144.41,49.758,172.764,112.1281,422.14,239.174,37.8606,26.0533,231.05,194.9651,2452.48,58.5543,287.37,482.3153,185.5325,756.99,383.7131,186.63,223.6021,82.2369,66.3747,83.72,362.28,622.4054,103.275,1156.88,117.28,438.447,193.74,178.6729,171.4593,30.943,122.78,73.55,430.461,831.82,44.0374,79.8093,75.1603,50.615,192.53,34.615,92.8556,80.7187,183.13,112.1508,139.26,374.81,67.794,36.3839,113.166,58.86,110.09,54.97,170.1348,40.4319,172.2576,52.2656,110.0986,468.17,55.09,64.6515,147.8468,75.01,76.67,42.357,30.9917,308.1,57.2502,270.02,76.28,64.69,204.2997,66.6936,70.73,130.88,162.55,291.34,109.3,144,15.55,,191.053,205.9,37.1607,14240.61
2023-02-27,148.598,252.0324,23.5134,59.537,93.76,169.54,207.63,89.87,90.1,489.572,323.03,78.77,322.32,178.176,347.1239,124.8558,144.13,50.0146,174.3983,112.8937,414.91,239.983,38.2187,25.8046,231.74,195.3814,2521.08,58.2725,287.4,486.447,185.7658,757.79,382.9454,188.51,223.6223,82.4714,66.4659,86,363.36,636.1946,104.1288,1182.99,120.65,439.959,193.18,179.562,170.7345,31.0738,123.53,73.77,431.013,845.96,44.4994,78.9031,74.9628,51.16,196.68,34.98,92.4859,81.671,184.93,111.6075,138.27,375.05,68.2333,35.9569,113.1762,59.62,110.58,55.08,171.5629,40.4829,172.5687,52.6022,111.4226,468.18,54.19,64.3173,149.9028,76.04,77.6,42.4697,31.6649,310.3,57.1479,269.2,77.73,64.89,204.2896,66.2781,70.89,131.84,164.62,295.68,110.08,143.825,15.94,,191.354,206.87,36.7351,14345.74
2023-02-28,148.086,251.2868,23.2283,60.436,94.23,174.94,205.71,90.06,90.3,486.707,322.13,78.58,323.95,175.765,351.0438,124.967,142.18,49.6965,175.1235,117.0037,409.44,237.127,38.0345,25.8357,229.39,194.3966,2524,58.1919,290.29,489.7726,186.07,760.42,383.2383,188.37,221.8261,82.1044,66.0001,87.73,363.76,621.7511,103.7731,1220,120.69,441.914,192.94,180.3095,170.362,30.791,123.28,73.6,432.229,830.1,45.343,75.3995,75.0564,50.88,198.69,35.23,90.3296,82.0863,185.47,111.2251,138.81,367.61,66.5785,35.1233,112.5746,59.44,111.01,55.96,170.195,39.748,171.6857,52.592,111.4627,473.24,54.66,63.4361,145.9777,76,76.52,41.4036,31.2161,309.2,56.258,269.86,77.41,65.34,204.1887,65.4369,70.66,131.15,164.33,303.61,109.55,145.28,15.62,,193.589,209.52,36.8804,14327.21
2023-03-01,145.976,248.1132,22.71,60.363,92.17,173.42,202.77,90.36,90.51,481.168,313.48,78.29,323.38,173.537,352.7367,125.8775,141.29,49.6144,175.859,118.1218,403.497,241.764,37.482,26.2502,227.33,195.8179,2552.32,57.7088,291.23,494.7206,185.7049,770.44,382.1877,186.94,221.5637,81.146,64.9976,91.04,361.02,618.953,103.1022,1208.72,120.21,432.511,191.43,180.7035,170.5634,31.1647,120.83,73.82,423.186,824.22,45.5539,74.8558,75.94,49.595,196.38,34.9,88.6764,81.8331,184.12,111.3559,135.66,362.54,66.6092,34.7573,112.8805,58.44,110.76,55.41,169.8689,39.1968,177.3146,52.5818,110.9302,469.1,53.92,63.1727,150.1728,75.3,75.22,40.7476,31.7159,309.49,56.0739,272.21,78.23,65.11,202.5344,64.1195,70.03,128.44,162.19,299.2,108.7,148.12,15.02,,192.948,209.97,36.5379,14205.02
2023-03-02,146.579,252.9895,23.3263,60.879,92.13,174.53,190.9,92,92.31,488.225,311.88,80.44,333.5,176.717,354.4497,125.9793,141.15,49.8094,177.8099,119.3206,402.592,240.279,37.8094,27.1518,228.9,197.4118,2577.83,56.793,290.76,493.7733,187.2059,768.9,382.1574,189.85,224.581,81.1766,66.1823,95.76,363.38,628.2331,104.7082,1218.52,123.64,438.699,192.64,182.4816,172.033,31.5888,122.38,74.1,428.662,840.89,46.4276,76.6982,77.7488,51.075,201.13,35.525,90.3502,82.1066,188.17,111.6981,137.86,363.09,66.4968,35.1538,114.3081,59.64,121.24,56.39,177.9758,39.4622,182.201,53.9588,112.8191,476.13,55.28,63.3348,152.7584,75.04,74.1,41.3934,32.3484,311.65,56.9331,268.75,76.75,65.54,203.2809,65.2038,71.22,134.13,166.11,307.5,115.28,146.59,15.24,,200.703,205.32,36.7247,14334.01
2023-03-03,151.722,257.2008,23.9026,64.348,94.9,185.25,197.79,93.65,94.02,477.741,315.18,81.52,344.04,176.544,365.1613,125.7961,141.9,50.5791,179.4442,119.8343,410.788,240.351,38.0959,27.3591,234.87,199.8179,2620.4,57.1452,290.51,495.4562,188.8894,779.3,385.4102,191.59,226.8011,82.6549,66.5367,95.69,367.5,641.5291,106.2736,1226.74,126.04,445.321,196.5,184.8355,174.2174,31.4576,125.73,76.29,432.138,838.03,44.2283,79.5173,79.2042,51.005,207.46,35.71,91.4797,83.6768,191.55,113.1269,143.2,369.98,66.5989,35.1233,114.9505,60.84,122.92,57.29,178.1213,39.8501,187.5489,54.7544,113.6831,488,57.34,63.3449,155.5135,76.37,76.98,42.4185,32.9299,316.83,57.2093,270.27,78.94,66.71,203.3918,65.974,72.41,119.24,177.53,310.37,116.7,149.15,15.47,,214.979,219.06,37.4617,14626.69
2023-03-06,154.535,258.7926,23.5664,64.364,93.75,184.9,193.81,95.13,95.58,485.601,312.03,81.16,347.02,176.901,360.7981,124.5849,143.72,50.7228,176.7578,119.4112,415.001,240.658,37.9424,26.9342,234.85,200.0413,2613.43,57.1956,291.62,488.9764,188.1491,780.38,383.5312,187.91,227.5781,82.6957,66.5064,93.78,368.77,625.0122,106.7209,1256.26,127.59,448.082,197.4,181.7845,176.281,30.8415,126.33,76.78,430.963,839.44,42.4507,79.3361,79.2978,51.99,208.33,35.285,91.7672,83.0386,188.82,113.0967,144.03,369.11,65.9452,35.3978,115.3584,61.31,113.25,56.83,177.0628,39.799,188.3315,54.428,113.7233,486.16,55.95,63.4158,152.112,76.68,76.58,42.5312,32.9197,304.6,57.1786,270.25,77.41,66.19,204.7637,65.9234,71.87,119.81,176.15,308.7,115.71,144.06,15.13,,209.557,219.89,36.7974,14640.59
2023-03-07,152.295,256.0522,23.3043,63.574,93.55,184.51,187.71,93.86,94.17,487.682,308.47,82.11,344.8,176.024,356.8581,121.3077,142.87,50.1994,175.7466,117.2253,411.562,234.117,37.0317,26.4575,230.71,198.5997,2578.9,55.9174,286.58,483.3734,187.5609,773.85,379.2178,187.2,223.2994,81.8495,65.6254,93.67,361.28,613.075,105.0437,1264.91,124.93,439.475,195.35,179.2185,174.7207,29.9831,126.94,74.91,424.171,828.72,41.2807,78.4299,78.7884,51.61,205.48,35.21,91.0073,83.1804,186.64,110.5409,141.05,357.85,65.6694,35.4079,114.2979,60.37,113.81,57.64,175.4825,39.4418,184.7696,53.663,112.6683,473.99,58.16,62.2105,151.2537,76.25,74.82,42.0289,32.3892,301.81,56.2785,264.88,78.7,65.06,201.0717,64.464,70.64,117.88,176.48,301.31,116.88,142.02,14.82,,202.589,223.65,35.4376,14461.82
